" ","StudentComments","Rating","totalwords","Sentiment"
"500","extra-ordinary teaching style","4","3","positive"
"501","good","4.54","1","positive"
"502","good","4.83","1","positive"
"503","good","4.83","1","positive"
"504","good teacher.","3.57","2","positive"
"505","he is a good teacher.he always helps us to understand the topic.","4.5","12","positive"
"506","he is a nice teacher i have ever seen.","5","9","positive"
"507","he is nice but not friendly teacher.he always help us even he give us more consulting time. his vocabulary excellent but voice tone is not clear.","4.13","26","positive"
"508","he is nice teacher.","5","4","positive"
"509","he is very good teacher. i like his teaching system.","3","10","neutral"
"510","he tries his best and also very puntual.he is a very good teacher.","4.83","13","positive"
"511","i think he is a best teacher.","3.88","7","positive"
"512","nandini madam is well for ur the english calss .she always try to help us.an she is also careing . thank u yanbu 04-05002-2","4.33","24","positive"
"513","she is a good teacher","3.92","5","positive"
"514","she is very cute looking and well behaved personality.","4.75","9","positive"
"515","sir .u r the best . we luv u a lot sir","5","12","positive"
"516","too good.","5","2","positive"
"517","very good","3.33","2","neutral"
"518","very good & perfect in teaching","5","6","positive"
"519","very good teacher","4.13","3","positive"
"520","very nice person and teacher","2.63","5","negative"
"521","very nice teacher. i like my teacher.","3.92","7","positive"
"522","very very very good , nice","5","6","positive"
"523","fine","4.38","1","positive"
"524","good","3.67","1","positive"
"525","he is a good and honourable also punctual one.","4.42","9","positive"
"526","he is a good person.","5","5","positive"
"527","he is a good teacher","3.92","5","positive"
"528","he is a good teacher","5","5","positive"
"529","he is a good teacher","3.08","5","neutral"
"530","he is a good teacher.","4.83","5","positive"
"531","he is a very good teacher but some time he is late to return answar script.","4.75","16","positive"
"532","he is agood teacher","3.83","4","positive"
"533","he is good","3.89","3","positive"
"534","he is nice & helpful teacher. always try to make everything clear and shows how to do it perfectly.","4.58","19","positive"
"535","ok","4.5","1","positive"
"536","she is good at teching english.","4.75","6","positive"
"537","sir is not good, not bad","2.21","6","negative"
"538","very good.","4.5","2","positive"
"539","his teaching style is really good.","4","6","positive"
"540","good","5","1","positive"
"541","good teacher","4.46","2","positive"
"542","good teacher","4.46","2","positive"
"543","he is a good student.","4.67","5","positive"
"544","he is a good teacher","4.88","5","positive"
"545","he is a good teacher considering his teachig process but he need to improve his english fluency.","3.96","17","positive"
"546","he is a very good teacher","4.57","6","positive"
"547","he is one of the best teacher of mine.he is very cool and good looking guy.he is as like as jakhey chan.i respect him very much.","4.71","26","positive"
"548","he is very good teacher.","4.79","5","positive"
"549","he is very rude behaved.","3.33","5","neutral"
"550","his classes can be tedious at times, it would be better if he made them interesting.","3.79","16","positive"
"551","resonable sir","2.71","2","negative"
"552","she is a good faculty for english she always help us to improve our bad side","5","16","positive"
"553","she is really nice","3.5","4","positive"
"554","she is very good teacher and her teaching method was also good.she have all the qualitys for teaching. she is very helpful for weak students. but need to secrefice for those student who miss home works or assaignment.","4.88","38","positive"
"555","v gud","4.96","2","positive"
"556","very good teacher in teaching.","5","5","positive"
"557","good","5","1","positive"
"558","good","4.3","1","positive"
"559","good sir.","3.67","2","positive"
"560","good teacher","4.67","2","positive"
"561","good teacher","4","2","positive"
"562","good teacher","3","2","neutral"
"563","good teaching style.","4.5","3","positive"
"564","he ia really a very good teacher. he is very friendly with his students.i'm really happy to have a good teacher in communication skill-2.","5","24","positive"
"565","he is a good teacher","5","5","positive"
"566","he is a good teacher.","4.08","5","positive"
"567","he is a good teacher.","4.96","5","positive"
"568","he is a not a bad teacher.","2","7","negative"
"569","he is an overall excellent teaching person,very helpful to student.","4.92","10","positive"
"570","he is good","4.73","3","positive"
"571","he is good","5","3","positive"
"572","he is good","4","3","positive"
"573","he is good","5","3","positive"
"574","he is one of my fevorite teacher.","4.91","7","positive"
"575","he is outstanding.simply nice.simply best.","4.67","5","positive"
"576","he is special one.","4.5","4","positive"
"577","he is very good teacher.","4.7","5","positive"
"578","he is very responsible and good to me.he is always respected to me.","4.4","13","positive"
"579","i am afraid to comment on her.","4.08","7","positive"
"580","nice teacher","4","2","positive"
"581","not bad","5","2","positive"
"582","our sir always explains the subject matter clearly. he is a good person.","5","13","positive"
"583","regular","2","1","negative"
"584","she is a top class teacher.","4.67","6","positive"
"585","she is one of the best instructor in aiub","5","9","positive"
"586","she is really a very cooperating teacher.","4.58","7","positive"
"587","sir,provides us bonus marks in final exam.","4.15","7","positive"
"588","though she is a good teacher but i think she is not adiquate for every student.","2.83","16","negative"
"589","tripura sir is very punctual,cool,attentive,regular,freindly & outstanding. he is simply the best,","4.67","12","positive"
"590","well","2.83","1","negative"
"591","aiub must have professors like tripura sir.","4.38","7","positive"
"592","bijoy sir is a very good teacher. he always tryes to make students speak in english. he teaches student in very easy way.","4.5","23","positive"
"593","good","4.83","1","positive"
"594","good","4.71","1","positive"
"595","good","4.02","1","positive"
"596","he is a good teacher .but sometimes talk about same topic much","3","12","neutral"
"597","he is a good teacher.","4.42","5","positive"
"598","he is a good teacher.","4.63","5","positive"
"599","he is a good teacher.","4","5","positive"
"600","he is a good teacher.","5","5","positive"
"601","he is best teacher for aiub i think","5","8","positive"
"602","he is the best teacher than any other faculty of aiub","4.22","11","positive"
"603","her teaching way is not clear to me because she does not clearly discuss what she will do. if she clearly open what she want to teach us we will very kind to her. her marking system is very poor because she does not give enough mark in assignment and class work which is very harmful to all of us to get a good grade.","3.29","65","neutral"
"604","nice teacher","4.54","2","positive"
"605","she is good","2.5","3","negative"
"606","styding style is diffrent.","4.83","4","positive"
"607","this teacher is very nice.","3.83","5","positive"
"608","though this is her first semester, but it seems to be ok everything. she should be more seriuos.","2.88","18","negative"
"609","very good","4.75","2","positive"
"610","very good teacher","4.92","3","positive"
"611","as a teacher he is realy wonderful.","4.5","7","positive"
"612","best","5","1","positive"
"613","dass, dr. bijoy bhuson is a perfect english teacher and also cares the students,their study and also their behavoir.i like his teaching style as well as his way of communicates with the students.he takes so many presentations and encourage us to participate in the class.","4.83","45","positive"
